Age,gender,occupation,education,lifestyle,favorite,zone,activity,month,place
58,female,enterprise,primary,family,family,Bang Na,movie,4,Rachadalai Theatre
48,female,employee,diploma,,,Chom Thong,healty ,11,Sukhothai
27,male,freelance,kindergarten,,,Rat Burana,cooking,5,Ayutthaya
58,male,enterprise,diploma,other,other,Wang Thonglang,culture,10,Chiang Rai
38,male,unemployed,graduate,,,Bang Khae,nature,7,Phuket
30,male,unemployed,secondary,simplicity,,Lak Si,journey,11,Impact
43,female,freelance,secondary,family,movie,Bang Na,gourmet,5,Khao Yai
55,male,official,diploma,,extreme,Sathon,cooking,8,The Skin Doctors Central Chidlom
43,female,enterprise,kindergarten,technology,travel,Lat Krabang,cooking,3,The Mall Bang Kapi
41,female,business,secondary,other,celebrity,Khlong Sam Wa,gourmet,5,Khao Yai
21,female,retire,kindergarten,,other,Saphan Sung,healty,8,Chonburi
49,male,unemployed,kindergarten,,,Rat Burana,gourmet,6,Office
21,male,employee,secondary,,travel,Bang Khen,stageplay,12,Chiang Rai
40,male,unemployed,bachelor,,,Lat Krabang,gourmet,1,Sukhothai
31,female,employee,primary,technology,,Phra Nakhon,photo,10,Khao Yai
41,male,enterprise,kindergarten,party,,Bang Bon,nature,12,Khao Yai
44,male,student,other,other,concert,Bueng Kum,concert,1,Office
46,female,unemployed,graduate,technology,travel,Phasi Charoen,beauty,11,Chiang Rai
47,female,unemployed,bachelor,party,,Bang Khun Thian,nature,12,Potalai Spa Ramintra
35,male,student,diploma,technology,extreme,Don Mueang,healty ,3,Sukhothai
